family,N,cold_mean,cold_sem,warm_mean,warm_sem
er,20,21.966666666666665,0.5107653336451485,20.7,0.5342305671248836
er,40,14.966666666666667,0.13116045567967358,13.666666666666666,0.1541258877412573
er,60,12.7,0.09767410038007758,11.366666666666667,0.1015209998471335
er,80,11.6,0.0909717652294684,10.2,0.07427813527082076
er,100,11.0,0.0,9.7,0.08509629433967633
er,120,10.366666666666667,0.08948554539839965,9.033333333333333,0.03333333333333333
er,140,10.0,0.0,9.0,0.0
er,160,9.9,0.055708601453115555,8.3,0.08509629433967633
er,180,9.4,0.0909717652294684,8.0,0.0
er,200,9.0,0.0,8.0,0.0
sparse_er,20,20.2,0.3265986323710904,18.7,0.3327005488008906
sparse_er,40,25.2,0.39069640152031027,23.6,0.34441354452920747
sparse_er,60,26.466666666666665,0.33470980168049486,24.533333333333335,0.4199981755114541
sparse_er,80,28.233333333333334,0.3609799349132326,25.366666666666667,0.36978817587797075
sparse_er,100,28.033333333333335,0.2774404081539464,26.233333333333334,0.33795644599115604
sparse_er,120,28.5,0.2785430072655778,25.933333333333334,0.23941179516230035
sparse_er,140,29.233333333333334,0.2522693931956372,26.3,0.21522508933779025
sparse_er,160,29.1,0.3193024005367103,26.766666666666666,0.17075446735768107
sparse_er,180,29.633333333333333,0.2558885054141064,27.066666666666666,0.24882867361351374
sparse_er,200,29.666666666666668,0.27681826617913324,26.633333333333333,0.2603416558635552
